Marketing expense;Production expense;Multiplex coverage;Budget;Movie_length;Lead_ Actor_Rating;Lead_Actress_rating;Director_rating;Producer_rating;Critic_rating;Trailer_views
20.1264;59.62;0.462;36524.125;138.7;7.825;8.095;7.91;7.995;7.94;527367
20.5462;69.14;0.531;35668.655;152.4;7.505;7.65;7.44;7.47;7.44;494055
20.5458;69.14;0.531;39912.675;134.6;7.485;7.57;7.495;7.515;7.44;547051
20.6474;59.36;0.542;38873.89;119.3;6.895;7.035;6.92;7.02;8.26;516279
21.381;59.36;0.542;39701.585;127.7;6.92;7.07;6.815;7.07;8.26;531448
20.597;59.36;0.542;35718.65;132.2;6.89;7.1;6.885;7.005;7.26;498425
21.7658;70.74;0.476;33396.66;140.1;7.065;7.265;7.15;7.4;8.96;459241
22.891;70.74;0.476;34285.46;169.6;6.98;7.075;6.875;7.17;7.96;400821
24.2248;70.74;0.476;31280.205;173.5;6.91;7.075;6.85;7;7.96;295168
23.4008;70.74;0.476;33352.22;159.4;6.665;6.725;6.575;6.855;7.96;412012
24.4978;70.74;0.476;35424.235;167.8;6.675;6.845;6.725;7.06;8.96;369595
22.3494;70.74;0.476;33379.995;156.4;6.865;7.035;6.745;6.905;8.96;451646
21.8756;70.74;0.476;32713.395;112.5;7.12;7.43;7.21;7.335;8.96;407557
32.5952;71.28;0.462;33046.695;135.3;7.64;7.705;7.535;7.705;6.8;472490
32.7592;71.28;0.462;33863.28;158;7.7;7.9;7.76;7.71;7.8;495311
32.5478;71.28;0.462;32407.87;130;7.7;7.825;7.64;7.84;6.8;497626
41.0786;71.28;0.462;32968.925;102.8;7.67;7.805;7.74;7.785;7.8;532331
35.684;71.28;0.462;33274.45;155.2;7.72;7.925;7.82;8.015;6.8;431225
36.0542;71.28;0.462;30308.08;110.1;8.1;8.24;8.07;8;6.8;448317
34.516;71.28;0.462;31813.485;143;8.01;8.175;8;8.215;7.8;463328
45.0358;71.28;0.462;30941.35;171.6;8.035;8.205;7.955;8.21;7.8;371051
37.0408;71.28;0.462;33135.575;162.7;7.945;8.14;7.83;8.06;7.8;457361
44.6494;71.28;0.462;34118.81;165.2;7.91;8.01;7.845;8.275;6.8;387496
39.7686;71.28;0.462;32291.215;173.5;7.825;8.01;7.935;8.04;7.8;365213
35.0052;71.28;0.462;32907.82;167.6;7.655;7.965;7.64;7.94;7.8;414145
36.8108;71.28;0.462;31102.445;159.2;7.655;7.835;7.64;7.96;7.8;422375
33.4382;71.28;0.462;32291.215;163.8;7.53;7.705;7.645;7.755;6.8;436807
39.1154;71.28;0.462;33591.085;162.3;7.75;7.8;7.7;7.845;6.8;406866
35.4598;71.28;0.462;36079.725;167.9;7.715;7.825;7.655;7.895;7.8;455480
40.049;71.28;0.462;37074.07;160.8;7.735;8.03;7.82;7.935;6.8;466851
42.6162;71.28;0.462;31735.715;167.6;7.74;7.91;7.815;8.07;6.8;350102
47.0944;71.28;0.462;33729.96;173.5;7.805;7.97;7.76;8.115;6.8;436306
47.7598;71.28;0.462;33052.25;155.5;7.995;8.07;7.845;8.105;7.8;299587
43.0344;71.28;0.462;31669.055;168.5;8.1;8.165;8.02;8.14;7.8;394967
52.2564;71.28;0.462;33863.28;170.4;7.965;8.17;8.065;8.28;6.8;377048
21.2834;66.92;0.501;32957.815;141.7;8.155;8.365;8.23;8.53;7.16;475977
21.9488;66.92;0.501;32446.755;134.9;8.305;8.36;8.19;8.39;8.16;474433
21.6028;66.92;0.501;32496.75;115;8.01;8.125;7.94;8.055;7.16;482433
23.501;66.92;0.501;33141.13;103.7;7.925;8.17;7.98;8.23;7.16;498052
20.5526;60.9;0.572;36635.225;95.3;7.175;7.325;7.225;7.475;8.34;553070
20.6718;60.9;0.572;39018.32;89.3;7.185;7.345;7.235;7.43;8.34;567784
22.5488;68.82;0.552;37607.35;76.4;7.115;7.14;7;7.3;7.42;512492
22.83;68.82;0.552;34268.795;80.1;7.035;7.27;7.06;7.19;7.42;526836
23.1872;68.82;0.552;34502.105;80;6.98;7.17;7.08;7.33;8.42;473146
22.4538;68.82;0.552;33713.295;113.5;7.095;7.245;7.05;7.165;8.42;471960
23.4284;68.82;0.552;31563.51;107.3;7.385;7.525;7.395;7.49;8.42;470466
23.7672;68.82;0.552;32141.23;106.8;7.375;7.5;7.3;7.625;8.42;445250
24.5854;68.82;0.552;33496.65;159;7.085;7.18;7.125;7.23;7.42;374797
25.0774;68.82;0.552;29991.445;168.8;7.01;7.16;7.02;7.07;8.42;264112
24.3954;68.82;0.552;31119.11;135.5;6.945;7.05;6.85;6.98;7.42;422013
21.7746;66.28;0.561;33124.465;119.2;6.46;6.725;6.5;6.685;7.64;442225
20.8674;66.28;0.561;33968.825;136.5;6.48;6.63;6.46;6.795;8.64;502413
21.072;66.28;0.561;36168.605;94.6;6.49;6.62;6.44;6.815;8.64;504792
20.9962;66.28;0.561;33318.89;94.9;6.555;6.74;6.565;6.51;8.64;496877
20.272;63;0.59;32707.84;121.1;6.3;6.365;6.2;6.5;6.78;410055
20.2622;57.44;0.597;40268.195;95.4;5.55;5.795;5.605;5.655;8.42;512329
20.411;56.48;0.59;35457.565;109.2;5.34;5.535;5.285;5.465;8.54;539589
20.2864;57.64;0.589;37862.88;114;5.685;5.86;5.815;5.99;8.98;512129
23.089;65.26;0.547;34135.475;102.7;6.01;6.115;5.965;6.28;7.06;480067
22.0656;65.26;0.547;32924.485;120.7;6.37;6.66;6.45;6.66;7.06;467075
22.9864;65.26;0.547;31891.255;139.7;6.335;6.42;6.235;6.56;7.06;465689
23.4342;65.26;0.547;33141.13;166.9;6.58;6.665;6.46;6.655;7.06;430178
22.2054;65.26;0.547;35863.08;141.3;6.225;6.46;6.285;6.58;7.06;525189
22.53;65.26;0.547;37562.91;116.9;5.885;6.155;5.95;6.045;8.06;469499
20.3902;57.76;0.5839;39462.72;133;5.28;5.455;5.315;5.505;7.28;477265
20.7168;61.74;0.602;34940.95;91.3;6.69;6.785;6.575;6.725;8.78;545499
20.8758;61.74;0.602;32146.785;104.6;6.65;6.78;6.58;6.77;8.78;465605
21.1578;67.14;0.591;32652.29;94.9;6.68;6.8;6.74;6.785;8.22;493569
22.7108;67.14;0.591;31074.67;110.3;6.745;6.915;6.73;6.615;8.22;461313
22.5632;67.14;0.591;32691.175;106.5;6.725;6.805;6.7;6.77;7.22;499656
21.7652;76.62;0.587;35646.435;80.1;7.24;7.465;7.205;7.52;7.16;501152
23.1752;76.62;0.587;33113.355;91;7.28;7.4;7.29;7.455;8.16;491978
21.8328;76.62;0.587;33691.075;81.3;7.27;7.52;7.195;7.44;7.16;500290
23.9078;76.62;0.587;34690.975;79.7;7.32;7.385;7.25;7.47;8.16;493124
21.5792;80.66;0.563;34846.515;79.5;7.73;8.025;7.715;8.025;7.26;488560
21.9024;80.66;0.563;34918.73;118.5;7.585;7.75;7.585;8.07;8.26;496661
22.0306;80.66;0.563;34879.845;148;7.835;8.14;7.87;8.05;8.26;478283
21.7414;80.66;0.563;34107.7;119.3;7.84;7.97;7.87;8.14;7.26;490040
21.1292;80.66;0.563;34618.76;127.2;7.33;7.5;7.45;7.69;8.26;447528
21.6774;80.66;0.563;32630.07;110.1;7.735;7.885;7.59;7.785;8.26;467670
20.8226;64.72;0.574;37368.485;107;7.25;7.36;7.3;7.29;8.2;499995
20.8924;64.72;0.574;36768.545;143.9;7.145;7.445;7.145;7.46;7.2;510436
20.7318;64.72;0.574;35007.61;105.7;7.235;7.405;7.265;7.29;8.2;492574
20.7102;64.72;0.574;34257.685;120.2;7.24;7.41;7.165;7.385;7.2;485743
21.0118;63.98;0.551;35490.895;121.5;7.515;7.645;7.505;7.775;7.3;454277
21.147;63.98;0.551;36829.65;129.6;7.625;7.925;7.755;7.815;8.3;495454
21.0376;63.98;0.551;33413.325;118.6;7.69;7.92;7.755;7.78;7.3;436753
21.4302;63.98;0.551;34002.155;130.3;8.035;8.13;8.08;8.26;8.3;489563
21.132;61.82;0.511;38923.885;159.8;8.25;8.455;8.28;8.175;8.44;509357
21.0604;61.82;0.511;39323.845;136.6;8.17;8.31;8.135;8.555;8.44;515362
20.9368;61.82;0.511;35646.435;139.6;8.43;8.535;8.425;8.425;8.44;503147
20.7864;61.82;0.511;35579.775;147.4;8.42;8.525;8.295;8.575;7.44;496193
20.8406;85.08;0.536;35785.31;127.1;8.02;8.295;8.015;8.34;8.36;489837
20.575;85.08;0.536;34502.105;102.4;8.04;8.225;8.095;8.305;8.36;508101
20.8588;85.08;0.536;34713.195;150.8;8.095;8.33;8.04;8.305;8.36;468556
22.4408;60.78;0.555;36801.875;131.3;8.215;8.385;8.12;8.29;7.4;489220
22.3008;60.78;0.555;34235.465;143.1;8.21;8.325;8.23;8.245;8.4;467769
22.4166;60.78;0.555;44823.295;149.5;8.15;8.34;8.215;8.305;7.4;543618
21.6374;60.78;0.555;43440.1;110.4;8.23;8.29;8.2;8.285;7.4;544945
21.372;60.78;0.555;41195.88;136;8.085;8.32;8.165;8.435;8.4;484613
22.9732;72.12;0.48;37368.485;153.4;8.45;8.66;8.595;8.74;6.82;471052
22.2864;72.12;0.48;37668.455;144.8;8.425;8.63;8.44;8.79;7.82;491484
24.5752;72.12;0.48;35579.775;158.9;8.485;8.725;8.635;8.725;7.82;457364
24.2322;72.12;0.48;34091.035;160.9;8.515;8.79;8.56;8.71;7.82;443252
22.792;72.12;0.48;34257.685;163.5;8.685;8.875;8.66;8.935;6.82;432081
22.6524;72.12;0.48;32502.305;170.2;8.905;9.025;8.935;8.925;6.82;430817
23.424;72.12;0.48;32418.98;165.4;8.815;8.965;8.76;9.04;6.82;405008
22.6234;72.12;0.48;34035.485;158.7;8.825;9.025;8.915;8.99;6.82;442160
22.5604;72.12;0.48;35963.07;170.6;8.64;8.91;8.73;8.85;7.82;473768
25.2726;72.12;0.48;34602.095;164.7;8.715;8.86;8.56;8.775;6.82;437611
22.1586;72.12;0.48;34413.225;127.9;8.475;8.7;8.48;8.79;7.82;423752
22.0168;75.02;0.453;37301.825;155.1;8.595;8.685;8.5;8.87;8.44;495560
22.4658;75.02;0.453;32846.715;166.4;8.725;8.885;8.72;8.965;7.44;394329
24.4424;75.02;0.453;33841.06;168.9;8.705;8.875;8.725;8.6;8.44;405200
22.8462;75.02;0.453;34740.97;157.7;8.73;8.93;8.855;8.975;8.44;446050
23.4268;75.02;0.453;32930.04;161.7;8.72;8.795;8.64;8.92;7.44;415458
22.6316;75.02;0.453;34307.68;146;8.535;8.645;8.5;8.86;8.44;432696
23.0196;75.02;0.453;33446.655;156.1;8.615;8.755;8.54;8.595;7.44;454755
22.6116;75.02;0.453;32618.96;146.6;8.6;8.865;8.69;8.89;7.44;410730
22.8952;75.02;0.453;31835.705;138.7;8.52;8.74;8.54;8.685;8.44;463019
21.3798;106.3;0.419;32607.85;143.2;8.8;8.92;8.735;9.03;7.18;455844
21.433;106.3;0.419;33352.22;157.6;8.78;9.02;8.815;8.99;8.18;454602
21.8598;106.3;0.419;33113.355;166.4;8.83;9.075;8.865;9.05;8.18;388265
23.0076;106.3;0.419;32530.08;170.5;8.89;9.09;8.965;9.165;8.18;334417
21.9698;106.3;0.419;32657.845;169.3;8.895;9.13;8.9;9.06;8.18;395312
23.3804;106.3;0.419;33252.23;161.9;8.935;9.075;8.855;9.155;7.18;443766
27.747;106.3;0.419;31180.215;169.1;9.035;9.24;9.1;9.115;8.18;303828
25.183;98.78;0.376;31624.615;169.5;8.955;9.135;9.08;9.255;6.76;391198
26.5086;98.78;0.376;35724.205;172.3;9.02;9.195;9.04;9.115;7.76;444896
37.625;98.78;0.376;31313.535;168.2;8.85;9.06;8.95;9.175;6.76;406685
26.8012;98.78;0.376;35874.19;172.4;8.815;9.035;8.82;9.095;6.76;466796
43.8588;98.78;0.376;35140.93;171.2;8.73;8.985;8.79;8.955;6.76;438063
31.801;98.78;0.376;35396.46;171.4;8.795;8.92;8.8;8.83;6.76;456491
26.5964;98.78;0.376;32341.21;168.9;8.635;8.79;8.735;8.895;7.76;426316
39.5234;98.78;0.376;31980.135;171.9;8.825;8.86;8.735;8.885;6.76;402396
31.1556;98.78;0.376;35190.925;171.7;8.89;8.965;8.84;9.085;6.76;411162
26.4528;98.78;0.376;33007.81;167;8.87;9.08;8.91;9.205;6.76;394365
27.0466;98.78;0.376;35851.97;171.9;8.925;9.235;8.915;9.225;7.76;442884
24.996;98.78;0.376;32535.635;171.7;9.055;9.295;9.08;9.235;6.76;380380
30.8904;98.78;0.376;34168.805;171.4;9.045;9.205;9.16;9.255;7.76;411330
25.818;98.78;0.376;34296.57;167.1;9.07;9.23;9.065;9.41;6.76;354960
52.5728;98.78;0.376;27880.545;173.5;9.185;9.34;9.145;9.45;7.76;233100
86.421;94.16;0.129;30013.665;173.5;9.33;9.48;9.18;9.365;9.06;329378
101.948;94.16;0.129;30374.74;173.5;9.18;9.4;9.21;9.385;9.06;308802
75.5948;94.16;0.129;27236.165;171.3;9.26;9.46;9.225;9.365;8.06;294970
67.5868;94.16;0.129;34052.15;173.5;9.155;9.37;9.14;9.495;8.06;305675
63.101;94.16;0.129;31263.54;173.5;9.09;9.255;9.155;9.47;8.06;399297
67.3724;94.16;0.129;27363.93;169.2;9.115;9.32;9.17;9.475;9.06;286266
66.6198;94.16;0.129;28808.23;167.3;9.21;9.385;9.2;9.14;8.06;309356
74.6794;94.16;0.129;31091.335;168.4;9.12;9.39;9.205;9.24;8.06;347105
53.132;94.16;0.129;34007.71;170.8;9.175;9.24;9.035;9.315;8.06;428936
49.9264;94.16;0.129;30019.22;173.5;9.07;9.27;9.115;9.365;8.06;466687
42.5316;94.16;0.129;27841.66;161.5;9.09;9.22;9.05;9.42;9.06;455196
62.9836;94.16;0.129;31713.495;172;9.11;9.32;9.05;9.275;8.06;411772
48.277;94.16;0.129;34046.595;169.5;9.115;9.265;9.015;9.11;9.06;440004
90.7002;94.16;0.129;34174.36;156.1;9.06;9.275;9.04;9.13;9.06;432078
68.9336;94.16;0.129;29285.96;167.5;9.005;9.145;9.075;9.305;8.06;426057
44.4716;94.16;0.395;38568.365;170.9;9.005;9.12;9.04;9.08;9.06;501350
46.8568;94.16;0.395;33696.63;173.5;9.02;9.23;9.05;9.185;8.06;483363
48.5004;94.16;0.129;36163.05;173.5;9.08;9.155;9.01;9.22;9.06;475753
45.4692;94.16;0.395;34718.75;166.1;9.07;9.24;9.06;9.03;9.06;540041
49.2672;94.16;0.395;41601.395;164.3;8.915;9.055;8.935;9.155;8.06;539697
56.6754;94.16;0.395;43340.11;171.7;8.87;9.12;8.945;8.98;8.06;531084
50.3804;94.16;0.395;46523.125;167.4;8.87;9.03;8.8;8.975;9.06;561132
64.8472;94.16;0.395;32518.97;165.3;8.645;8.805;8.755;8.95;9.06;467883
78.48;94.16;0.395;33891.055;166.5;8.815;8.86;8.705;9.055;8.06;471586
60.2038;94.16;0.395;44045.595;169.7;8.945;9.045;8.845;9.07;9.06;517904
56.0056;94.16;0.395;32646.735;152.7;8.655;8.895;8.71;8.89;8.06;468741
66.008;94.16;0.395;35102.045;169.6;8.855;8.98;8.88;9.085;8.06;473988
68.9906;94.16;0.395;35563.11;168.7;8.85;8.94;8.835;8.85;8.06;449755
44.1484;94.16;0.395;32635.625;168.1;8.65;8.79;8.64;9.07;9.06;438703
66.278;94.16;0.395;32663.4;170.8;8.69;8.82;8.725;8.985;8.06;470298
22.7828;63.1;0.49;30952.46;162;8.65;8.73;8.635;8.79;7.68;415584
21.8356;63.1;0.49;35640.88;157.6;8.57;8.715;8.615;8.805;7.68;467457
21.6894;63.1;0.49;32546.745;142.2;8.58;8.65;8.485;8.88;7.68;480435
21.3328;63.1;0.49;36363.03;106.6;8.39;8.545;8.395;8.41;7.68;500067
21.4044;63.1;0.49;33441.1;120.7;8.125;8.295;8.11;8.36;7.68;491916
21.085;63.1;0.49;35079.825;146.9;8.325;8.36;8.295;8.38;8.68;487150
21.3284;63.1;0.49;38107.3;147.9;8.405;8.625;8.395;8.75;7.68;513390
21.156;59.92;0.512;38773.9;131.9;8.445;8.725;8.58;8.59;8.44;505742
21.3176;59.92;0.512;43134.575;156.8;8.51;8.67;8.52;8.82;7.44;515276
21.3776;59.92;0.512;34129.92;135.7;8.655;8.805;8.605;8.74;7.44;461876
21.8206;59.92;0.512;39746.025;165.7;8.64;8.675;8.54;8.75;7.44;549262
22.0016;59.92;0.512;36457.465;169.1;8.48;8.665;8.545;8.62;8.44;493498
21.6616;59.92;0.512;31130.22;163.3;8.47;8.58;8.425;8.545;8.44;440780
21.2094;59.92;0.512;34179.915;142.3;8.285;8.475;8.25;8.43;7.44;463628
21.1204;59.92;0.512;43501.205;127.1;8.275;8.405;8.245;8.675;8.44;511949
21.575;61.88;0.563;37674.01;114.6;8.095;8.15;8.065;8.115;7.96;480787
22.5158;61.88;0.563;36418.58;102.6;7.69;7.86;7.66;7.655;8.96;537380
21.674;61.88;0.563;39912.675;112.4;7.585;7.785;7.66;7.835;8.96;520707
21.8136;61.88;0.563;38612.805;95;6.73;6.82;6.645;6.845;8.96;512163
21.3822;61.88;0.563;37435.145;104.3;6.645;6.79;6.63;6.975;7.96;507193
21.7328;61.88;0.563;39873.79;99.8;6.62;6.83;6.7;6.895;7.96;515199
20.4374;60.86;0.599;37774;83.4;6.77;6.935;6.775;7.08;7.88;503965
20.2878;60.86;0.599;36685.22;92.3;6.745;6.985;6.77;7.06;8.88;525053
20.2762;55.92;0.578;43745.625;105.5;7.095;7.235;7.12;7.25;9.12;546519
20.8022;58.04;0.596;40479.285;107.6;6.21;6.4;6.245;6.525;8.48;549247
20.9332;58.04;0.596;39479.385;110.1;6.18;6.49;6.3;6.41;8.48;511537
20.7536;58.04;0.596;40407.07;111.8;6.235;6.39;6.27;6.485;8.48;519868
20.63;57.94;0.597;38746.125;88.8;6.015;6.24;6.11;6.33;8.6;536549
20.3556;57.94;0.597;39634.925;87.4;6.105;6.185;6.015;6.39;7.6;535003
20.689;59.06;0.585;34229.91;111.9;6.8;6.965;6.8;6.89;8.06;501886
20.4354;59.06;0.585;42273.55;89.2;6.825;6.955;6.735;6.95;9.06;554735
20.702;60.36;0.5839;43623.415;106.7;7.315;7.485;7.35;7.615;9.06;546954
20.4018;60.36;0.5839;44628.87;105.4;7.295;7.6;7.36;7.505;8.06;517393
22.7284;76.18;0.511;32724.505;95.8;7.88;8.19;7.945;8.09;8.28;456271
24.5938;76.18;0.511;35140.93;126;7.685;7.88;7.765;7.955;7.28;444948
25.0398;76.18;0.511;32124.565;146.2;7.68;7.875;7.7;8.04;8.28;378970
22.7174;76.18;0.511;33685.52;132.6;7.85;8.005;7.725;7.94;7.28;418851
28.7142;76.18;0.511;29685.92;173.5;8.025;8.07;7.93;8.225;7.28;367698
23.4892;76.18;0.511;33107.8;165.6;8.045;8.185;8.02;8;8.28;402133
27.5156;76.18;0.511;30019.22;162.1;8.005;8.295;8.1;8.27;7.28;347413
24.3438;76.18;0.511;32257.885;127.3;8.17;8.21;8.1;8.215;8.28;414813
22.8104;76.18;0.511;35413.125;105.8;7.945;8.04;7.91;8.215;7.28;504226
25.791;76.18;0.511;30063.66;83.3;8.16;8.26;8.165;8.235;8.28;298989
23.9604;76.18;0.511;34341.01;115.9;7.925;8.095;8.02;8.065;7.28;456943
20.912;82.78;0.45;32707.84;129.5;8.28;8.515;8.285;8.695;8.72;429010
21.4026;82.78;0.45;36896.31;158.6;8.24;8.405;8.155;8.36;7.72;461695
22.2138;82.78;0.45;33057.805;167.3;8.54;8.56;8.46;8.66;7.72;411880
22.285;82.78;0.45;35402.015;165.9;8.175;8.375;8.315;8.405;8.72;451935
27.1618;67.4;0.493;38612.805;162;8.485;8.64;8.485;8.67;8.52;480270
28.1542;67.4;0.493;34241.02;164.8;8.345;8.48;8.42;8.66;8.52;369907
32.4712;67.4;0.493;38212.845;151.2;8.295;8.395;8.31;8.455;7.52;470809
32.294;67.4;0.493;36762.99;154.3;8.25;8.4;8.23;8.58;7.52;489836
26.3066;67.4;0.496;45917.63;151.8;8.52;8.635;8.435;8.62;8.52;549160
30.5386;67.4;0.496;48467.375;156.5;8.435;8.695;8.525;8.56;7.52;521198
27.6428;67.4;0.496;44662.2;160;8.255;8.52;8.345;8.45;7.52;560909
28.2476;67.4;0.496;39790.465;153.4;8.345;8.44;8.36;8.42;7.52;506523
25.9638;67.4;0.496;42695.73;90.5;8.225;8.35;8.195;8.475;8.52;547397
28.8356;67.4;0.496;36396.36;94.9;8.22;8.36;8.29;8.385;8.52;561219
30.74;67.4;0.496;33224.455;141.6;8.015;8.31;8.06;8.265;8.52;480986
29.2592;67.4;0.496;41173.66;150.4;8.06;8.33;8.065;8.2;7.52;540602
31.5058;67.4;0.493;46312.035;146.8;7.97;8.09;8.05;8.21;7.52;545730
26.6294;67.4;0.493;45812.085;143.9;8.09;8.255;8.13;8.225;7.52;529841
28.9582;67.4;0.493;37362.93;140;8.165;8.31;8.015;8.205;8.52;514773
26.609;67.4;0.493;33807.73;135;8.045;8.305;8.095;8.255;8.52;471552
30.4116;67.4;0.493;36835.205;150;7.77;8.05;7.9;7.985;7.52;502128
30.2366;67.4;0.493;40873.69;145.1;7.88;8.09;7.835;7.9;7.52;533135
21.6488;64.86;0.572;36001.955;92;6.87;6.94;6.775;7.035;8.68;523902
21.8504;64.86;0.572;36696.33;115.7;6.875;6.945;6.795;7.005;7.68;507617
22.2658;64.86;0.572;38312.835;127.8;6.755;6.935;6.8;6.84;8.68;470107
22.1224;64.86;0.572;33857.725;138.6;6.785;6.96;6.685;6.9;7.68;462958
22.058;64.86;0.572;35318.69;126.4;6.445;6.595;6.405;6.485;8.68;479264
22.5514;64.86;0.572;35513.115;81.3;6.47;6.515;6.435;6.505;7.68;537248
24.1216;66.72;0.569;31069.115;150;5.925;6.19;5.94;6.035;8.18;458708
23.8266;66.72;0.569;31135.775;143.7;5.86;6.085;5.86;6.285;8.18;405929
26.7966;66.72;0.569;33929.94;108.4;5.815;6.11;5.81;6.155;8.18;465288
23.9314;66.72;0.569;34585.43;152.7;5.915;6.005;5.85;6.12;7.18;484343
23.2878;66.72;0.569;35735.315;122.6;5.975;6.13;6.055;6.185;7.18;504043
23.8146;66.72;0.569;37318.49;91;5.96;6.2;5.96;6.23;8.18;531248
22.806;66.72;0.569;36035.285;86.5;6.25;6.34;6.185;6.43;7.18;522769
